original_title,id,original_language,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline,summary_length,Unnamed: 15,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Wildflower,393003,en,35.622,2016-02-05,5.3,24,"['Thriller', 'Drama']",college student start reoccurring nightmare begin believe suppressed memory search find answer force confront past trauma time help unlock mystery may bring killer justice,0,92.0,Sometimes you have to risk everything to finally be free,273,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Lethal Weapon,941,en,27.395,1987-03-06,7.3,3421,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",buttoned detective partnered unhinged cop distraught wife death ha death wish take unnecessary risk criminal every turn odd couple embark first homicide investigation partner involving young woman known tie drug prostitution ring,120207127,110.0,If these two can learn to stand each other... the bad guys don't stand a chance.,373,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Lilo & Stitch 2: Stitch Has a Glitch,20760,en,31.396,2005-01-22,6.6,1082,"['Animation', 'Family', 'Comedy', 'Science Fiction']",find rowdy extraterrestrial getting used life new ohana malfunction ultimate creation soon emerges reinstates destructive programming threatens ruin friendship short good,0,68.0,,283,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Messengers,9966,en,19.896,2007-02-02,5.7,610,"['Mystery', 'Thriller', 'Horror']",trade craziness big city life quiet farm little expect nightmare follows arriving teenage younger brother see terrifying apparition endure attack supernatural source must warn disbelieving family late save,55060212,90.0,There is evidence to suggest that children are highly susceptible to paranormal phenomena. They see what adults cannot. They believe what adults deny. And they are trying to warn us.,370,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
The Man with the Iron Heart,339259,en,26.401,2017-05-25,6.5,581,"['War', 'Action', 'History', 'Thriller']",peak resistance plan ambitious military operation two young recruit sent assassinate ruthless nazi leader head architect,4412639,120.0,The true story of how the architect of the Holocaust was assassinated,313,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Un gallo con muchos huevos,264419,es,26.897,2015-09-04,7.1,165,"['Animation', 'Family']",ha grown young cock evil rancher trick female owner ranch live force bet property cockfight arena option defend home must train one week win championship arena,9080818,99.0,,291,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Come True,515454,en,22.926,2020-09-24,5.9,112,"['Science Fiction', 'Horror']",looking escape recurring nightmare year old submits university sleep study soon realizes become conduit frightening new discovery,70459,105.0,,182,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
劇場版 BLEACH The DiamondDust Rebellion もう一つの氷輪丸,17101,ja,26.134,2007-12-22,6.5,113,"['Action', 'Adventure', 'Animation']",artifact known stolen transport assigned retrieve go missing battle thief leading suspect treachery order immediate capture execution believe capable crime set find,0,95.0,,399,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Unforgivable,645886,en,22.741,2021-11-24,0.0,0,['Drama'],released prison society forgive past woman seek redemption searching sister left behind,0,113.0,No one walks free of their past.,134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
브이아이피,435601,ko,28.392,2017-08-23,8.0,133,"['Crime', 'Thriller', 'Action']",son high ranked official commits series murder going across country around world movie depicts following event start chasing,0,128.0,,229,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Renegades,335788,en,30.141,2017-08-21,5.7,256,"['Action', 'Thriller']",midst war squad attempt unravel long forgotten mystery discovering enormous treasure trove hidden bottom lake,2602149,105.0,5 Navy SEALs. $300 million in gold. 1 incredible mission.,186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hunt,514847,en,33.057,2020-03-11,6.7,2031,"['Action', 'Thriller', 'Horror']",stranger wake clearing know got shadow dark internet conspiracy theory ruthless elitist gather remote location hunt human sport master plan derailed one hunted turn table pursuer,8621288,90.0,The Ultimate Human Hunting Experience,320,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Pelé,785976,pt,29.947,2021-02-23,7.5,108,['Documentary'],backdrop turbulent era documentary capture extraordinary path breakthrough talent national hero rare archival footage exclusive interview documentary celebrates legendary brazilian footballer personified football art,0,108.0,,296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I Still Believe,585244,en,26.655,2020-03-12,7.7,917,"['Music', 'Drama', 'Romance']",true life story christian music star journey love loss look prove always hope,0,115.0,One love can change your life.,130,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
Eden Lake,13510,en,31.127,2008-09-12,6.8,1222,"['Horror', 'Thriller']",relentlessly tense immaculately paced horror thriller modern youth gone wild young couple go remote wooded lake romantic getaway quiet weekend shattered aggressive group local kid quickly turn rage teen terrorize couple unimaginable way weekend outing becomes bloody battle survival,3984669,91.0,"A weekend by the lake, with views to die for.",393,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Game of Thrones: The Last Watch,591278,en,22.344,2019-05-26,7.1,259,"['Documentary', 'TV Movie']",post finale feature length documentary making hit tv show,0,115.0,A farewell to Westeros with the people who built the realm,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Klaus,508965,en,28.048,2019-11-08,8.3,2611,"['Animation', 'Family', 'Adventure', 'Comedy']",distinguishes worst student sent smeerensburg small village located icy island grumpy inhabitant barely exchange word let alone letter give abandon duty postman meet local teacher mysterious carpenter life alone cabin full handmade toy,0,96.0,Welcome to the jingle,411,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Over the Hedge,7518,en,28.776,2006-05-17,6.5,3489,"['Family', 'Comedy', 'Animation']",scheming raccoon fool mismatched family forest creature helping repay debt food invading new suburban sprawl popped hibernating learns lesson family,343397247,83.0,Taking back the neighborhood... One snack at a time.,226,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Lost City of Z,314095,en,29.383,2017-03-15,6.3,2208,"['Adventure', 'Drama', 'History']",true life drama centering british explorer discovered evidence previously unknown advanced civilization disappeared whilst searching,8574339,141.0,A man's reach should exceed his grasp... or what's a heaven for?,207,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Raiders of the Lost Ark,85,en,28.469,1981-06-12,7.9,9569,"['Adventure', 'Action']",tweed suited professor happens celebrated archaeologist hired government locate legendary find entire regime,389925971,115.0,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,227,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The November Man,254904,en,27.473,2014-08-27,6.1,1197,"['Crime', 'Action', 'Thriller']",ex cia operative brought back personal mission find pitted former pupil deadly game involving high level official russian president elect,32556119,108.0,A spy is never out of the game.,200,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fantastic Mr. Fox,10315,en,29.87,2009-10-23,7.7,3795,"['Adventure', 'Animation', 'Comedy', 'Family']",bored current life plan heist three local farmer farmer tired sharing chicken sly fox seek revenge family,46471023,87.0,Dig the life fantastic!,201,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Strangers: Prey at Night,371608,en,25.58,2018-03-07,5.6,1036,"['Horror', 'Thriller']",family road trip take dangerous turn arrive secluded mobile home park stay relative find mysteriously deserted cover darkness three masked killer pay visit test family every limit struggle survive,31039126,85.0,Let us prey.,283,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Boyz n the Hood,650,en,24.817,1991-07-12,7.6,1308,"['Drama', 'Crime']",popular successful film social criticism condition teenager involved gun fight drug dealing daily basis,57504069,112.0,Once upon a time in South Central L.A... It ain't no fairy tale.,219,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
너의 결혼식,532444,ko,32.881,2018-08-22,7.7,116,['Romance'],course life man first love repeatedly separated circumstance control,20895905,110.0,Do you remember? Your first love.,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Secret Life of Walter Mitty,116745,en,31.171,2013-12-18,7.1,6268,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",timid magazine photo manager life life vicariously daydream embarks true life adventure negative go missing,188133322,114.0,"Stop Dreaming, Start Living",138,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2067,528085,en,20.407,2020-10-01,5.0,539,"['Science Fiction', 'Thriller']",lowly utility worker called future mysterious radio signal must leave dying wife embark journey force face deepest fear attempt change fabric reality save humankind greatest environmental crisis yet,0,114.0,The fight for the future has begun.,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Bachelorette,84174,en,37.116,2012-01-23,5.4,1027,"['Comedy', 'Romance']",three friend asked bridesmaid wedding woman used ridicule back high school,11947954,87.0,Old habits party hard.,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gantz: Perfect Answer,74135,ja,21.362,2011-04-23,6.7,148,"['Action', 'Mystery', 'Science Fiction', 'Horror']",begin several month event first film still fighting alien order mysterious giant black orb close reaching score need resurrect friend night time mission continues live normal life spending time new girlfriend young pop star secretly ordered carry assassination cop inch closer towards finding truth mission mission begin get increasingly dangerous alien fighter general public discovers endgame quickly approaching,0,141.0,,710,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
If I Stay,249164,en,29.764,2014-08-21,7.4,3722,['Drama'],talented young cellist thought difficult decision would ever make would whether pursue musical dream prestigious follow heart love life rock singer guitarist car wreck change everything instant life hang balance life death face choice decide future,78274843,106.0,Live for Love.,432,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Zombie Strippers!,13009,en,24.86,2008-04-18,4.8,272,"['Comedy', 'Horror']",distant future secret government animation chemo virus get released conservative land underground strip club virus begin spread turning stripper girl struggle whether conform new even mean turning back,0,94.0,Live Dead Nudes,355,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rocky Balboa,1246,en,34.859,2006-12-20,6.8,2587,"['Drama', 'Action']",loses highly publicized virtual boxing match ex champ reigning heavyweight titleholder retaliates challenging nationally televised round exhibition bout surprise son friend agrees come retirement face opponent faster stronger thirty year junior,155721132,102.0,It ain't over 'til it's over.,363,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
[REC] 4: Apocalipsis,185341,es,28.113,2014-10-31,5.6,825,"['Thriller', 'Horror']",ngela young television reporter entered building fireman manages make alive soldier know carry seed strange infection taken provisional quarantine facility high security installation stay isolation several day old oil tanker mile shore surrounded water side ha especially equipped quarantine,4915757,95.0,It’s time to leave.,471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Planet Hulk,30675,en,23.609,2010-02-02,7.0,349,"['Science Fiction', 'Animation', 'Action']",becomes dangerous trick shuttle launch space planet live peace struggle escape make malfunction shuttle causing land planet sold slavery trained gladiator,7000000,81.0,Will he save their world... or destroy it?,343,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Tangled Ever After,82881,en,25.108,2012-01-13,7.1,841,"['Animation', 'Comedy', 'Action', 'Family']",kingdom festive mood everyone gather royal wedding flower chameleon ring bearer respectively lose gold band frenzied search recovery mission get underway desperate duo try find ring anyone discovers missing leave behind trail comical chaos includes flying lantern flock dove wine barrel barricade sticky finale save day make church time ever get nose right,0,6.0,,605,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La leyenda del Charro Negro,494656,es,30.566,2018-01-19,8.0,118,['Animation'],releasing decides time return together brother grandmother house road manages confuse innocent girl dragged underworld forced repair damage friend come try help get soon possible coincidence ha chosen involve intention go beyond getting new soul,0,0.0,,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toma,729679,sr,29.079,2021-12-20,0.0,0,"['Drama', 'Music', 'History']",man remembered song unique way wa singing also bohemian behavior soul,0,140.0,,173,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
You Again,38303,en,23.605,2010-09-24,6.3,1034,"['Comedy', 'Romance']",history make high school may repeat learns mean girl past set sister law wedding bell toll must show brother tiger change stripe side mother backed wealthy aunt,32054369,105.0,What doesn't kill you... is going to marry your brother.,319,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L change the WorLd,20329,ja,28.852,2008-02-09,5.9,189,"['Fantasy', 'Action', 'Thriller', 'Science Fiction', 'Mystery']",human whose name written shall die making hardest decision ever another serious case confronts day left without best partner ha solve case first time,30231200,129.0,The final death note showdown!,283,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
ベルセルク 黄金時代篇III 降臨,144288,ja,29.604,2013-02-01,7.7,218,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Animation']",year ha passed since parted way former mercenary group plotting rescue mission save imprisoned,0,110.0,,167,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
猫の恩返し,15370,ja,38.1,2002-07-19,7.2,1338,"['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']",schoolgirl bored ordinary routine save life unusual cat suddenly world transformed beyond anything ever imagined reward good deed flurry present including shocking proposal marriage son embarks unexpected journey eye opened whole world,54016370,75.0,"It’s not so bad being a cat, now is it?",387,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Project Power,605116,en,23.586,2020-08-14,6.5,2140,"['Action', 'Crime', 'Science Fiction']",ex soldier teen cop collide hunt source behind dangerous new pill grant user temporary superpower,0,113.0,What would you risk for five minutes of pure power?,151,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
It's Kind of a Funny Story,43923,en,26.597,2010-10-08,7.0,1928,"['Comedy', 'Drama']",clinically depressed teenager get new start check adult psychiatric ward,6491240,102.0,Sometimes what's in your head isn't as crazy as you think.,104,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
デスノート the Last name,16140,ja,28.346,2006-10-28,6.9,338,"['Fantasy', 'Thriller', 'Mystery']",second installment film franchise meet second faithful follower named attempt defeat along follower follower end win named make difference victory ultimate death,50710400,141.0,The last name to be written in the DEATH NOTE... Whose name will it be?,392,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Justice League Dark,408220,en,27.354,2017-03-29,7.4,663,"['Science Fiction', 'Action', 'Animation', 'Fantasy', 'Thriller']",supernatural power join together fight supernatural villain,0,75.0,,85,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
The Age of Adaline,293863,en,25.048,2015-04-16,7.5,5272,"['Romance', 'Fantasy', 'Drama']",year old recovers nearly lethal accident inexplicably stop growing older year stretch keep secret meet man change life,65663276,112.0,Love is timeless.,216,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
青鬼 THE ANIMATION,432130,ja,32.305,2017-02-11,4.3,7,"['Horror', 'Animation']",based horror game noprops five member cultural anthropology club old western style school trying come idea presentation school culture festival find collection folk tale gathered student club year ago realize mysterious appears folk tale may basis popular free game decide make theme manage make contact author game dy mysteriously soon afterward club member become suspicious author death began investigate encounter secret never touched secret underground prison school reason fire door school locked trapped school sound strange footstep hear soon turn scream new tragedy begin,0,60.0,,989,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Patriot,2024,en,30.037,2000-06-28,7.1,2943,"['Drama', 'History', 'War', 'Action']",proving field battle french indian want nothing thing preferring simple life farmer son enlists army defend new nation reluctantly return old life protect son,215294342,165.0,Some things are worth fighting for.,341,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
聖闘士星矢 最終聖戦の戦士たち,83088,ja,31.785,1989-03-18,7.3,140,"['Action', 'Animation', 'Fantasy']",plot involves coming underling systematically dispose surviving go lucifer ask peace placing peril must come rescue destroying process,0,45.0,,324,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
いぬやしき,447743,ja,28.957,2018-04-20,7.7,92,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']",middle aged office worker encounter alien gifted alien technology limitless power,0,127.0,,103,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Deepwater Horizon,296524,en,30.842,2016-09-29,6.8,3592,"['Drama', 'Action']",story set offshore drilling rig exploded created worst oil spill history,121790373,107.0,"When faced with our darkest hour, hope is not a tactic",141,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Valkyrie,2253,en,21.835,2008-12-25,6.9,2829,"['Drama', 'Thriller', 'History', 'War']",wounded return native join daring plan create shadow government assassinate event unfold becomes central player find tasked leading coup personally killing,200276000,121.0,Many saw evil. They dared to stop it.,345,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
Stargate,2164,en,26.829,1994-10-27,7.0,2514,"['Action', 'Adventure', 'Science Fiction']",interstellar teleportation device found lead planet human resembling ancient worship god,196567262,121.0,It will take you a million light years from home. But will it bring you back?,136,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fighting With My Family,445629,en,25.346,2019-02-14,6.8,1219,['Comedy'],tight knit wrestling family brother ecstatic get lifetime opportunity try earns spot competitive training program must leave loved one behind face new cutthroat world alone journey push dig deep ultimately prove world make different thing make star,39055536,108.0,A comedy about a family that fights a little differently.,447,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crank,1948,en,29.53,2006-08-31,6.6,2811,"['Action', 'Thriller', 'Crime']",hit man wanting go straight let latest target slip away awakes next morning phone call informs ha poisoned ha hour live unless keep adrenaline coursing body search antidote,42931041,88.0,"There are a thousand ways to raise your adrenaline. Today, Chev Chelios will need every single one.",284,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Evil Eye,732713,en,24.108,2020-04-01,5.5,108,"['Mystery', 'Thriller', 'Horror']",seemingly perfect romance turn dark mother becomes convinced daughter new boyfriend ha sinister connection past,0,90.0,Trust your mother's instincts.,142,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Apollo 13,568,en,25.975,1995-06-30,7.4,4225,"['Drama', 'History', 'Adventure']",true story technical trouble scuttle lunar mission risking life astronaut crew failed journey turning thrilling saga heroism drifting mile astronaut work furiously ground crew avert tragedy,355237933,140.0,"Houston, we have a problem.",322,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Leprechaun Returns,518158,en,24.841,2018-12-11,6.0,227,"['Horror', 'Fantasy', 'Comedy']",group unwitting sorority sister accidentally awaken serial killing build sorority house hunting ground,0,92.0,Be careful what you wish for.,145,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
The Nightingale,400090,en,25.289,2018-09-23,7.2,330,"['Drama', 'Thriller']",year old irish convict chase british soldier rugged wilderness bent revenge terrible act violence committed family enlists service tracker also marked trauma violence filled past,855756,136.0,Her song will not be silenced.,304,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Finest Hours,300673,en,28.329,2016-01-25,6.5,1290,"['Action', 'Drama', 'History', 'Thriller']",make daring rescue attempt coast pair oil tanker destroyed blizzard,52099090,117.0,"32 survivors, room for 12.",140,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
The DUFF,272693,en,25.228,2015-02-20,6.8,3861,"['Romance', 'Comedy']",universe turn upside learns high school refers duff designated erase label enlists help charming jock favorite teacher face school mean girl remind everyone someone totally fine,43528634,100.0,"You either know one, you have one, or you are one.",344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Face/Off,754,en,28.523,1997-06-27,7.0,3975,"['Action', 'Crime', 'Science Fiction', 'Thriller']",tough rugged still grieving dead son belief son killer sworn enemy powerful criminal day ha finally cornered however fight ha knocked cold finally breathes easy capture enemy find ha planted bomb destroy entire city inhabitant unfortunately person know location brother refuse talk solution special operation doctor cut people face place person face onto another person undergoes one surgery talk somehow regains consciousness want revenge taking face ruining mission personal life well must stop time personal,245676146,138.0,"In order to catch him, he must become him.",992,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Primal: Tales of Savagery,704264,en,24.344,2019-11-21,8.4,194,"['Action', 'Adventure', 'Animation']",feature caveman dinosaur brink extinction bonded tragedy unlikely friendship becomes hope survival,0,85.0,,187,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tropa de Elite 2,47931,pt,29.321,2010-10-08,7.9,1360,"['Drama', 'Action', 'Crime']",bloody invasion de control rebellion intern second command accused member execution prisoner transferred corrupted exonerated,63027681,115.0,,416,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Babysitters,13078,en,32.268,2008-05-09,5.9,313,['Drama'],seventeen year old good student work babysitter order make money college one night father work confesses unhappy married life ha crush seizes moment kiss happy present big tip give idea plan make extra money setting teenage friend unhappy father,44852,88.0,These girls mean business.,440,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Last Christmas,549053,en,34.687,2019-11-07,7.3,1642,"['Comedy', 'Romance', 'Drama']",young woman ha habit making bad decision last date disaster occurs accepts work elf department store meet life take new turn,121550750,102.0,Who doesn't have a little Christmas baggage?,226,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
葉問3,365222,cn,32.353,2015-12-19,7.0,1234,"['Action', 'Drama', 'History']",band brutal gangster led crooked property developer make play take city forced take stand,156844753,105.0,,139,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
모가디슈,607844,ko,30.56,2021-07-28,7.6,19,"['War', 'Drama', 'Action']",diplomat embassy attempt daring joint escape outbreak civil war leaf stranded,0,121.0,,160,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
あのコの、トリコ。,544810,ja,27.404,2018-10-05,5.9,11,"['Romance', 'Comedy']",center three childhood friend love triangle moved back countryside started wearing glass noticed girl entered entertainment industry alongside began working model actor respectively turn enters life,0,99.0,,331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Judge,205587,en,31.94,2014-10-08,7.3,3274,['Drama'],successful lawyer return hometown mother funeral discover estranged father town judge suspected murder,83719388,141.0,Defend your Honor.,154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
One Flew Over the Cuckoo's Nest,510,en,26.703,1975-11-18,8.4,8153,['Drama'],serving time insanity state mental hospital implacable rabble rouser inspires fellow patient rebel authoritarian rule head nurse,108981275,133.0,"If he's crazy, what does that make you?",211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
劇場版 ヴァイオレット・エヴァーガーデン,533514,ja,26.247,2020-09-18,8.8,142,"['Animation', 'Drama', 'Fantasy', 'Romance']",world move war technological advance bring change life still hope see lost commanding officer,20339624,140.0,,149,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Risen,335778,en,26.261,2016-02-18,6.1,636,"['Drama', 'History']",powerful military tribune aide tasked solving mystery happened week following crucifixion order disprove rumor risen prevent uprising,46069568,107.0,Witness the manhunt that changed the course of human history,256,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Fantastic Four,9738,en,29.905,2005-06-29,5.8,7687,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",space voyage four scientist altered cosmic ray gain ability stretch body become invisible control fire turned super strong thing fantastic must thwart evil plan save world certain destruction,333535934,106.0,4 times the action. 4 times the adventure. 4 times the fantastic.,353,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Batman Returns,364,en,28.648,1992-06-19,6.9,4856,"['Action', 'Fantasy']",deal deformed man calling employee corrupt businessman transforms,280000000,126.0,"The Bat, the Cat, the Penguin.",134,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Memento,77,en,26.899,2000-10-11,8.2,11571,"['Mystery', 'Thriller']",tracking man raped murdered wife difficulty locating wife killer however compounded fact suffers rare untreatable form short term memory loss although recall detail life accident cannot remember happened fifteen minute ago going,39723096,113.0,Some memories are best forgotten.,371,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
My Life in Ruins,23049,en,27.301,2009-06-05,6.1,311,"['Comedy', 'Romance']",greek tour guide named attempt recapture kefi greek mojo guiding ragtag group tourist around showing beauty native land along way manages open eye wonder exotic foreign land beginning see world new set eye process,20455276,95.0,The most fun you can have without a passport.,342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Leprechaun in the Hood,18011,en,25.048,2000-03-28,5.0,137,"['Horror', 'Comedy']",loot local hip hop mogul studio fund demo album threesome unwittingly end secret success magical flute gig instantly turn golden blood thristy angry hot trail leaving wake destruction tainted politically incorrect limerick,0,90.0,Evil's in the house.,384,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Free Birds,175574,en,24.551,2013-10-30,5.9,583,"['Animation', 'Comedy', 'Family']",two turkey opposite side track must put aside difference team travel back time change course history get turkey holiday menu good,110000000,91.0,Hang On To Your Nuggets,191,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crimson Peak,201085,en,30.202,2015-10-13,6.6,4075,"['Horror', 'Thriller', 'Romance', 'Mystery']",aftermath family tragedy aspiring author torn love childhood friend temptation mysterious outsider trying escape ghost past swept away house breathes bleeds remembers,74679822,119.0,Love makes monsters of us all.,255,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0
The Art of the Steal,209247,en,23.549,2013-09-20,6.2,431,"['Comedy', 'Crime']",crunch third rate motorcycle daredevil part time art thief team snaky brother steal one valuable book world book keen rewrite chapter past well,64065,90.0,It takes a great artist to pull off the perfect con,266,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Time Machine,2135,en,25.943,2002-03-04,6.2,1706,"['Science Fiction', 'Adventure', 'Action']",hoping alter event past th century inventor instead travel year future find mankind divided two warring race,123729176,96.0,The greatest adventure THROUGH all time!,165,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Valentine's Day,32856,en,27.244,2010-02-10,5.9,2565,"['Comedy', 'Romance']",dozen navigate early morning midnight couple awake together relationship sputter grade school boy want flower first true love two high school senior plan first time sex noon tv sport reporter get assignment find romance star quarterback contemplates future two stranger meet plane together year face crisis dinner beckons lonely lied,216485654,125.0,A Love Story. More or Less.,523,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rocky V,1375,en,30.79,1990-11-16,5.7,2323,['Drama'],lifetime taking shot ha ended career crooked accountant ha left broke inspired memory trainer however find glory training take coming boxer,119946358,104.0,Go for it!,212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Model Kidnapping,613860,en,26.529,2019-07-06,5.9,49,"['Thriller', 'TV Movie']",aspiring model thrilled fashion photographer help launch career held true intention use next star sexy website revealed courage resourcefulness must find way escape becomes next model murder victim inspired true event,0,85.0,She was looking to model. She found evil instead.,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Astérix: Le domaine des dieux,170522,fr,24.794,2014-11-26,6.8,1025,"['Animation', 'Comedy', 'Adventure', 'Family']",order wipe gaulish village mean necessary plan absorb villager roman culture estate built next village start new colony,42830578,85.0,,195,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
